日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2016-01-08,'000008,神州高铁,9.97,10.46,9.1,10.28,9.99,-0.02,-0.2002,1.3787,18208001,181469391.93,24022046282.2,13167051326.0,14242
2016-01-07,'000008,神州高铁,9.99,10.78,9.92,10.78,10.96,-0.97,-8.8504,0.4626,2964200,30607386.35,24070234940.7,6401421260.91,2699
2016-01-06,'000008,神州高铁,10.96,11.08,10.7,10.99,10.81,0.15,1.3876,1.9904,12754248,139068487.42,26407384879.9,7022980682.64,11338
2016-01-05,'000008,神州高铁,10.81,11.2,9.69,9.69,10.61,0.2,1.885,3.5515,22757510,241876510.51,26045969940.9,6926863246.29,18648
2016-01-04,'000008,神州高铁,10.61,11.88,10.6,11.88,11.78,-1.17,-9.9321,2.1911,14039993,157014603.34,25564083355.5,6798706664.49,13300
2015-12-31,'000008,神州高铁,11.78,11.97,11.6,11.61,11.66,0.12,1.0292,2.2235,14248056,168370909.11,28383119880.1,7548422668.02,12147
2015-12-30,'000008,神州高铁,11.66,12.0,11.47,11.57,11.58,0.08,0.6908,2.0265,12985431,152721406.51,28093987928.8,7471528718.94,13038
2015-12-29,'000008,神州高铁,11.58,11.6,11.1,11.46,11.46,0.12,1.0471,2.1643,13868483,156996595.68,27901233294.7,7420266086.22,13279
2015-12-28,'000008,神州高铁,11.46,12.03,11.37,11.97,11.96,-0.5,-4.1806,3.0918,19811536,232010744.23,27612101343.4,7343372137.14,18601
2015-12-25,'000008,神州高铁,11.96,12.08,11.8,11.82,11.82,0.14,1.1844,1.6027,10269989,122523780.1,28816817806.9,7663763591.64,9294
2015-12-24,'000008,神州高铁,11.82,12.15,11.62,12.1,12.16,-0.34,-2.7961,2.5083,16072762,190522564.61,28479497197.1,7574053984.38,16144
2015-12-23,'000008,神州高铁,12.16,12.63,12.14,12.47,12.47,-0.31,-2.486,3.2605,20892739,258885337.27,29298704392.3,7791920173.44,20195
2015-12-22,'000008,神州高铁,12.47,12.73,12.33,12.45,12.71,-0.24,-1.8883,3.1833,20398069,253652735.06,30045628599.7,7990562875.23,20404
2015-12-21,'000008,神州高铁,12.71,13.0,12.35,12.5,12.63,0.08,0.6334,5.9159,37908095,480890658.63,30623892502.2,8144350773.39,31379
2015-12-18,'000008,神州高铁,12.63,12.98,11.82,11.86,11.8,0.83,7.0339,7.6893,49271944,622959798.85,30431137868.0,8093088140.67,41267
2015-12-17,'000008,神州高铁,11.8,11.81,11.5,11.51,11.51,0.29,2.5195,2.8867,18497754,216448779.79,28431308538.6,7561238326.2,15223
2015-12-16,'000008,神州高铁,11.51,11.76,11.47,11.61,11.6,-0.09,-0.7759,1.9227,12320586,142211540.35,27732572989.8,7375411282.59,10594
2015-12-15,'000008,神州高铁,11.6,11.68,11.28,11.28,11.28,0.32,2.8369,2.8937,18542231,214163631.58,27949421953.2,7433081744.4,16158
2015-12-14,'000008,神州高铁,11.28,11.28,10.75,11.01,11.1,0.18,1.6216,2.1575,13825122,151893366.13,27178403416.6,7228031213.52,13670
2015-12-11,'000008,神州高铁,11.1,11.27,11.05,11.27,11.31,-0.21,-1.8568,1.9902,12753145,141765032.34,26744705489.7,7112690289.9,11287
2015-12-10,'000008,神州高铁,11.31,11.63,11.3,11.48,11.44,-0.13,-1.1364,2.0892,13387398,152296413.48,27250686404.4,7247254700.79,12594
2015-12-09,'000008,神州高铁,11.44,11.68,11.3,11.4,11.4,0.04,0.3509,2.2892,14668709,167958550.6,27563912684.9,7330556478.96,13038
2015-12-08,'000008,神州高铁,11.4,11.8,11.39,11.8,11.9,-0.5,-4.2017,3.061,19614227,226121252.26,27467535367.8,7304925162.6,18954
2015-12-07,'000008,神州高铁,11.9,11.99,11.8,11.9,11.93,-0.03,-0.2515,2.6344,16881072,200852154.6,28672251831.3,7625316617.1,14106
2015-12-04,'000008,神州高铁,11.93,12.08,11.75,11.89,11.9,0.03,0.2521,3.2784,21007382,250513681.76,28744534819.1,7644540104.37,19787
2015-12-03,'000008,神州高铁,11.9,11.97,11.71,11.84,11.83,0.07,0.5917,3.0238,19375678,229135706.23,28672251831.3,7625316617.1,17795
2015-12-02,'000008,神州高铁,11.83,12.06,11.5,11.8,11.67,0.16,1.371,3.4237,21938335,259811233.5,28503591526.4,7580461813.47,21531
2015-12-01,'000008,神州高铁,11.67,11.85,11.4,11.8,11.8,-0.13,-1.1017,3.6946,23674629,275217546.1,28118082258.1,7477936548.03,23099
2015-11-30,'000008,神州高铁,11.8,12.45,11.0,12.2,12.21,-0.41,-3.3579,6.9434,44492025,519630998.19,28431308538.6,7561238326.2,37881
2015-11-27,'000008,神州高铁,12.21,13.2,12.03,12.8,13.0,-0.79,-6.0769,6.0157,38547344,488306378.36,29419176038.7,7823959318.89,38492
2015-11-26,'000008,神州高铁,13.0,13.6,13.0,13.29,13.2,-0.2,-1.5152,6.6522,42626469,564866808.2,31322628051.0,8330177817.0,40288
2015-11-25,'000008,神州高铁,13.2,13.4,12.75,12.84,12.85,0.35,2.7237,6.8187,43692916,576207183.16,31804514636.4,8458334398.8,39254
2015-11-24,'000008,神州高铁,12.85,12.88,12.5,12.68,12.68,0.17,1.3407,3.7133,23794141,303082464.12,30961213112.0,8234060380.65,21972
2015-11-23,'000008,神州高铁,12.68,13.01,12.62,12.98,13.04,-0.36,-2.7607,5.7646,36938775,473214909.64,30551609514.4,8125127286.12,34974
2015-11-20,'000008,神州高铁,13.04,13.55,12.71,12.71,12.62,0.42,3.3281,8.606,55145838,726091346.94,31419005368.1,8355809133.36,53019
